UF;MUNICIPIO;TIPO DE VEÍCULO;QUANTIDADE
AC;PORTO ACRE;ONIBUS;47
AC;PORTO ACRE;QUADRICICLO;0
AC;PORTO ACRE;REBOQUE;33
AC;PORTO ACRE;SEMI-REBOQUE;8
AC;PORTO ACRE;SIDE-CAR;0
AC;PORTO ACRE;OUTROS;2
AC;PORTO ACRE;TRATOR ESTEI;0
AC;PORTO ACRE;TRATOR RODAS;0
AC;PORTO ACRE;TRICICLO;0
AC;PORTO ACRE;UTILITARIO;4
AC;PORTO WALTER;AUTOMOVEL;6
AC;PORTO WALTER;BONDE;0
AC;PORTO WALTER;CAMINHAO;9
AC;PORTO WALTER;CAMINHAO TRATOR;0
AC;PORTO WALTER;CAMINHONETE;30
AC;PORTO WALTER;CAMIONETA;0
AC;PORTO WALTER;CHASSI PLATAF;0
AC;PORTO WALTER;CICLOMOTOR;0
AC;PORTO WALTER;MICRO-ONIBUS;0
AC;PORTO WALTER;MOTOCICLETA;232
AC;PORTO WALTER;MOTONETA;53
AC;PORTO WALTER;ONIBUS;5
AC;PORTO WALTER;QUADRICICLO;0
AC;PORTO WALTER;REBOQUE;0
AC;PORTO WALTER;SEMI-REBOQUE;0
AC;PORTO WALTER;SIDE-CAR;0
AC;PORTO WALTER;OUTROS;0
AC;PORTO WALTER;TRATOR ESTEI;0
AC;PORTO WALTER;TRATOR RODAS;0
AC;PORTO WALTER;TRICICLO;0
AC;PORTO WALTER;UTILITARIO;1
AC;RIO BRANCO;AUTOMOVEL;71506
AC;RIO BRANCO;BONDE;0
AC;RIO BRANCO;CAMINHAO;4305
AC;RIO BRANCO;CAMINHAO TRATOR;527
AC;RIO BRANCO;CAMINHONETE;18037
AC;RIO BRANCO;CAMIONETA;3542
AC;RIO BRANCO;CHASSI PLATAF;8
AC;RIO BRANCO;CICLOMOTOR;482
AC;RIO BRANCO;MICRO-ONIBUS;238
AC;RIO BRANCO;MOTOCICLETA;74355
AC;RIO BRANCO;MOTONETA;14059
AC;RIO BRANCO;ONIBUS;912
AC;RIO BRANCO;QUADRICICLO;0
AC;RIO BRANCO;REBOQUE;3046
AC;RIO BRANCO;SEMI-REBOQUE;897
AC;RIO BRANCO;SIDE-CAR;55
AC;RIO BRANCO;OUTROS;25
AC;RIO BRANCO;TRATOR ESTEI;0
AC;RIO BRANCO;TRATOR RODAS;4
AC;RIO BRANCO;TRICICLO;129
AC;RIO BRANCO;UTILITARIO;1188
AC;RODRIGUES ALVES;AUTOMOVEL;201
AC;RODRIGUES ALVES;BONDE;0
AC;RODRIGUES ALVES;CAMINHAO;21
AC;RODRIGUES ALVES;CAMINHAO TRATOR;2
AC;RODRIGUES ALVES;CAMINHONETE;123
AC;RODRIGUES ALVES;CAMIONETA;2
AC;RODRIGUES ALVES;CHASSI PLATAF;0
AC;RODRIGUES ALVES;CICLOMOTOR;1
AC;RODRIGUES ALVES;MICRO-ONIBUS;1
AC;RODRIGUES ALVES;MOTOCICLETA;1018
AC;RODRIGUES ALVES;MOTONETA;291
AC;RODRIGUES ALVES;ONIBUS;9
AC;RODRIGUES ALVES;QUADRICICLO;0
AC;RODRIGUES ALVES;REBOQUE;0
AC;RODRIGUES ALVES;SEMI-REBOQUE;1
AC;RODRIGUES ALVES;SIDE-CAR;0
AC;RODRIGUES ALVES;OUTROS;0
AC;RODRIGUES ALVES;TRATOR ESTEI;0
AC;RODRIGUES ALVES;TRATOR RODAS;0
AC;RODRIGUES ALVES;TRICICLO;0
AC;RODRIGUES ALVES;UTILITARIO;1
AC;SANTA ROSA DO PURUS;AUTOMOVEL;18
AC;SANTA ROSA DO PURUS;BONDE;0
AC;SANTA ROSA DO PURUS;CAMINHAO;5
AC;SANTA ROSA DO PURUS;CAMINHAO TRATOR;1
AC;SANTA ROSA DO PURUS;CAMINHONETE;23
AC;SANTA ROSA DO PURUS;CAMIONETA;0
AC;SANTA ROSA DO PURUS;CHASSI PLATAF;0
AC;SANTA ROSA DO PURUS;CICLOMOTOR;0
AC;SANTA ROSA DO PURUS;MICRO-ONIBUS;0
AC;SANTA ROSA DO PURUS;MOTOCICLETA;124
AC;SANTA ROSA DO PURUS;MOTONETA;18
AC;SANTA ROSA DO PURUS;ONIBUS;3
AC;SANTA ROSA DO PURUS;QUADRICICLO;0
AC;SANTA ROSA DO PURUS;REBOQUE;3
AC;SANTA ROSA DO PURUS;SEMI-REBOQUE;0
AC;SANTA ROSA DO PURUS;SIDE-CAR;0
AC;SANTA ROSA DO PURUS;OUTROS;0
AC;SANTA ROSA DO PURUS;TRATOR ESTEI;0
AC;SANTA ROSA DO PURUS;TRATOR RODAS;0
AC;SANTA ROSA DO PURUS;TRICICLO;0
AC;SANTA ROSA DO PURUS;UTILITARIO;0
AC;SENA MADUREIRA;AUTOMOVEL;1570
AC;SENA MADUREIRA;BONDE;0
AC;SENA MADUREIRA;CAMINHAO;120
AC;SENA MADUREIRA;CAMINHAO TRATOR;9
AC;SENA MADUREIRA;CAMINHONETE;935
AC;SENA MADUREIRA;CAMIONETA;54
AC;SENA MADUREIRA;CHASSI PLATAF;0
AC;SENA MADUREIRA;CICLOMOTOR;21
AC;SENA MADUREIRA;MICRO-ONIBUS;4
AC;SENA MADUREIRA;MOTOCICLETA;4500
AC;SENA MADUREIRA;MOTONETA;1609
AC;SENA MADUREIRA;ONIBUS;10
AC;SENA MADUREIRA;QUADRICICLO;0
AC;SENA MADUREIRA;REBOQUE;65
AC;SENA MADUREIRA;SEMI-REBOQUE;13
AC;SENA MADUREIRA;SIDE-CAR;0
AC;SENA MADUREIRA;OUTROS;0
AC;SENA MADUREIRA;TRATOR ESTEI;0
AC;SENA MADUREIRA;TRATOR RODAS;0
AC;SENA MADUREIRA;TRICICLO;2
AC;SENA MADUREIRA;UTILITARIO;12
AC;SENADOR GUIOMARD;AUTOMOVEL;2214
AC;SENADOR GUIOMARD;BONDE;0
AC;SENADOR GUIOMARD;CAMINHAO;352
AC;SENADOR GUIOMARD;CAMINHAO TRATOR;68
AC;SENADOR GUIOMARD;CAMINHONETE;771
AC;SENADOR GUIOMARD;CAMIONETA;65
AC;SENADOR GUIOMARD;CHASSI PLATAF;0
AC;SENADOR GUIOMARD;CICLOMOTOR;17
AC;SENADOR GUIOMARD;MICRO-ONIBUS;8
AC;SENADOR GUIOMARD;MOTOCICLETA;2917
AC;SENADOR GUIOMARD;MOTONETA;445
AC;SENADOR GUIOMARD;ONIBUS;35
AC;SENADOR GUIOMARD;QUADRICICLO;0
AC;SENADOR GUIOMARD;REBOQUE;137
AC;SENADOR GUIOMARD;SEMI-REBOQUE;73
AC;SENADOR GUIOMARD;SIDE-CAR;1
AC;SENADOR GUIOMARD;OUTROS;0
AC;SENADOR GUIOMARD;TRATOR ESTEI;0
AC;SENADOR GUIOMARD;TRATOR RODAS;0
AC;SENADOR GUIOMARD;TRICICLO;3
AC;SENADOR GUIOMARD;UTILITARIO;14
AC;TARAUACA;AUTOMOVEL;619
AC;TARAUACA;BONDE;0
AC;TARAUACA;CAMINHAO;156
AC;TARAUACA;CAMINHAO TRATOR;17
AC;TARAUACA;CAMINHONETE;400
AC;TARAUACA;CAMIONETA;43
AC;TARAUACA;CHASSI PLATAF;0
AC;TARAUACA;CICLOMOTOR;6
AC;TARAUACA;MICRO-ONIBUS;20
AC;TARAUACA;MOTOCICLETA;2477
AC;TARAUACA;MOTONETA;1275
AC;TARAUACA;ONIBUS;23
AC;TARAUACA;QUADRICICLO;0
AC;TARAUACA;REBOQUE;21
AC;TARAUACA;SEMI-REBOQUE;21
AC;TARAUACA;SIDE-CAR;0
AC;TARAUACA;OUTROS;0
AC;TARAUACA;TRATOR ESTEI;0
AC;TARAUACA;TRATOR RODAS;0
AC;TARAUACA;TRICICLO;10
AC;TARAUACA;UTILITARIO;20
AC;XAPURI;AUTOMOVEL;847
AC;XAPURI;BONDE;0
AC;XAPURI;CAMINHAO;80
AC;XAPURI;CAMINHAO TRATOR;4
AC;XAPURI;CAMINHONETE;410
AC;XAPURI;CAMIONETA;23
AC;XAPURI;CHASSI PLATAF;1
AC;XAPURI;CICLOMOTOR;3
AC;XAPURI;MICRO-ONIBUS;4
AC;XAPURI;MOTOCICLETA;2712
AC;XAPURI;MOTONETA;314
AC;XAPURI;ONIBUS;7
AC;XAPURI;QUADRICICLO;0
AC;XAPURI;REBOQUE;47
AC;XAPURI;SEMI-REBOQUE;3
AC;XAPURI;SIDE-CAR;1
AC;XAPURI;OUTROS;0
AC;XAPURI;TRATOR ESTEI;0
AC;XAPURI;TRATOR RODAS;0
AC;XAPURI;TRICICLO;2
AC;XAPURI;UTILITARIO;12
AL;AGUA BRANCA;AUTOMOVEL;1073
AL;AGUA BRANCA;BONDE;0
AL;AGUA BRANCA;CAMINHAO;116
AL;AGUA BRANCA;CAMINHAO TRATOR;2
AL;AGUA BRANCA;CAMINHONETE;543
AL;AGUA BRANCA;CAMIONETA;41
AL;AGUA BRANCA;CHASSI PLATAF;0
AL;AGUA BRANCA;CICLOMOTOR;17
AL;AGUA BRANCA;MICRO-ONIBUS;93
